"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","271.537","268.313","265.161","262.333","262.358","259.576","256.666","255","259.556","256.656","254.101","250.965","248.707","249.165","246.255","243.523","241.723","246.029","244.404","243.287","241.404","239.723","237.73","237.569","232.481","223.49","224.024","223.877","399.706","224.416","224.303","234.679","242.123","242.262","241.152","236.993","232.515","225.56","219.246","224.83","220.374","218.454","218.658","216.755","214.647","214.088","212.612","207.825","210.157","206.479","200.962","200.982","194.311","194.234","191.787","186.538","185.84","182.583","182.054","176.089","249.284","",
"American Samoa","ASM","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","298.811","290.918","283.213","272.962","265.347","255.054","245.208","236.141","227.686","218.915","214.574","208.678","204.709","199.509","196.414","193.992","187.329","185.795","183.354","181.773","179.298","177.189","176.142","175.082","173.896","172.895","172.448","172.167","171.261","170.813","169.417","169.047","169.4","165.86","165.3","165.184","164.399","163.887","164.165","160.669","160.223","156.059","150.197","148.333","144.764","147.158","149.647","146.949","144.838","141.644","139.37","135.478","132.069","128.908","125.117","121.164","117.334","114.053","110.404","106.9","104.003","",
"Australia","AUS","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","200.01","198.798","203.46","202.327","209.646","207.713","206.009","206.32","209.072","206.545","208.409","197.846","194.619","192.443","196.525","189.266","185.176","177.915","174.401","169.626","165.1","160.649","157.021","148.861","145.955","142.205","136.867","136.15","132.616","130.174","123.906","118.763","116.61","112.772","112.33","108.979","107.832","104.411","103.662","101.033","97.967","93.793","90.811","89.052","86.332","85.447","82.945","84.729","81.993","81.768","78.634","78.281","75.68","75.444","76.85","78.264","75.835","74.463","73.167","","","",
"Austria","AUT","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","215.261","205.943","206.366","201.301","199.678","202.51","201.344","202.645","202.833","202.337","206.206","206.123","207.079","197.25","200.106","201.688","198.837","200.279","200.568","200.223","196.728","195.045","194.788","193.926","190.093","181.016","175.215","167.866","161.972","160.44","155.102","157.686","152.976","149.83","145.837","145.169","140.538","135.068","131.611","125.913","126.568","122.892","120.026","115.817","114.612","111.759","105.344","104.253","99.617","103.061","100.315","94.356","91.335","89.369","85.621","84.688","80.37","79.032","79.401","75.489","","",
"Azerbaijan","AZE","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","395.406","390.537","389.972","385.919","384.987","380.555","381.073","377.638","375.789","370.733","365.381","362.078","354.237","348.394","349.274","344.35","344.115","338.288","336.855","331.849","325.966","321.071","318.222","309.213","307.637","305.567","306.109","304.307","303.129","304.136","314.24","325.324","352.99","353.998","342.856","321.715","311.25","309.818","299.734","289.261","279.173","271.459","258.787","252.257","242.16","240.138","230.967","225.228","220.232","214.152","211.863","207.765","206.836","198.338","196.675","194.524","191.442","185.275","174.7","168.65","319.122","",
"Burundi","BDI","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","437.345","435.493","432.191","430.354","430.18","484.861","433.635","436.567","433.516","444.72","436.599","437.346","820.801","571.884","433.81","433.369","433.589","431.431","432.357","424.456","419.18","409.591","402.717","399.213","403.644","413.059","429.563","449.514","555.237","492.454","508.475","518.818","518.45","660.79","517.332","522.927","520.728","501.401","482.385","462.708","482.131","471.204","436.177","416.893","396.709","384.544","375.288","364.779","360.133","352.29","341.706","335.692","329.066","322.204","316.675","324.309","311.654","302.935","304.925","298.476","316.134","",
"Belgium","BEL","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","209.462","200.578","201.867","203.26","200.322","204.262","196.076","197.336","199.357","199.75","194.432","192.803","194.307","190.075","181.95","184.244","182.259","178.42","180.667","175.332","174.655","167.942","166.775","165.437","159.444","157.099","152.39","149.756","144.186","141.13","138.666","138.318","135.539","136.689","136.48","136.966","132.434","131.229","129.023","131.877","130.497","128.037","124.715","122.423","116.535","114.317","110.936","109.277","111.631","107.237","102.428","100.409","99.119","94.41","91.495","89.437","86.252","82.997","80.464","77.861","82.72","",
"Benin","BEN","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","458.537","456.179","453.285","452.286","447.835","445.632","442.74","439.973","436.916","432.866","431.024","429.424","423.322","421.112","417.613","413.253","404.194","400.473","396.473","397.849","394.62","392.158","389.148","387.996","388.088","377.752","368.625","362.882","351.124","348.874","342.23","341.19","336.054","327.373","320.438","311.478","304.524","302.338","305.436","303.385","306.59","305.665","305.086","306.773","304.929","305.453","302.412","299.276","300.589","301.092","295.587","295.577","289.894","291.195","288.604","289.617","287.304","286.886","282.252","282.721","288.981","",
"Burkina Faso","BFA","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","482.146","478.684","471.616","467.054","465.814","459.828","457.131","451.584","449.402","445.074","440.057","436.926","428.818","425.966","417.228","407.58","399.401","393.27","384.059","377.283","370.002","368.234","359.443","354.347","347.425","346.776","349.575","354.478","355.842","358.196","356.84","357.638","358.834","365.791","368.128","367.538","369.154","374.997","369.141","369.555","366.688","366.312","365.523","360.088","354.325","351.838","344.049","339.111","330.469","322.636","319.932","314.764","310.083","310.402","306.192","301.792","297.436","298.461","292.891","299.581","311.696","",
